supermarket,category,name,description,price,reference_price,reference_unit,insert_date
433463D95980C252B92C204E3655BB81,la_despensa_dulce_y_desayuno_cremas_de_cacao_avellana_y_cacahuete,Crema de cacao y leche con avellanas Nocilla 780 g.,780 G.,5.45,6.99,kg,2020-11-14 19:00:00
433463D95980C252B92C204E3655BB81,la_despensa_alimentacion_pastas,Espaguetis Carrefour 1 kg.,,0.73,0.73,kg,2020-12-20 01:00:00
885EA3C1F14BDAE3193991E63BF5CFA4,cuidado_facial_y_corporal_desodorante,Desodorante roll-on mujer cuidado seda Deliplus,,0.75,1.5,100 ml,2020-07-23 16:00:00
ADCA3FE6444F01A88B191BBCD4249311,alimentacion_aceitunas_y_encurtidos_aceitunas_rellenas,DIA DELICIOUS aceituna gordal rellena de cebollita frasco 140 gr,,1.49,10.64,€/Kg.,2020-08-22 16:00:00
885EA3C1F14BDAE3193991E63BF5CFA4,panaderia_y_pasteleria_bolleria_de_horno,Magdalenas 100% integrales sin azúcares añadidos,Bandeja,2.5,6.58,kg,2021-01-12 09:00:00
ADCA3FE6444F01A88B191BBCD4249311,charcuteria_y_quesos_quesos_emmental_y_gruyere,PRESIDENT queso emmental envase 250 gr,,3.69,14.76,€/Kg.,2020-11-27 00:00:00
433463D95980C252B92C204E3655BB81,el_mercado_charcuteria_chorizo_lomo_y_otros,Chorizo de pavo El Pozo 80 g.,80 G.,1.0,12.5,kg,2020-12-06 01:00:00
433463D95980C252B92C204E3655BB81,bebidas_vinos_rosado,Pago del Vicario Petit Verdot Rosado ,75 Cl.,6.5,6.5,ud,2020-12-10 00:00:00
433463D95980C252B92C204E3655BB81,bebidas_cava_y_champagne_todos_los_cavas_y_champagnes,Freixenet Espumoso Rosado Sin Alcohol,,5.95,5.95,ud,2020-12-18 00:00:00
433463D95980C252B92C204E3655BB81,bebe_perfumeria_e_higiene_lotes_multiproducto,Canastilla bebé azul 5 productos Mustela 1 ud.,1 Ud.,35.5,35.5,ud,2020-10-03 12:00:00
885EA3C1F14BDAE3193991E63BF5CFA4,huevos_leche_y_mantequilla_mantequilla_y_margarina,Nata ligera para cocinar Hacendado,Pack-3,1.32,2.2,L,2021-01-14 00:00:00
433463D95980C252B92C204E3655BB81,la_despensa_aperitivos_snacks,Nachos sabor chilli Doritos 150 g.,,1.65,11.0,kg,2021-01-27 00:00:00
ADCA3FE6444F01A88B191BBCD4249311,mascotas_gatos_snacks,WHISKAS snack para gatos sabor pollo bolsa 18 gr,,1.19,66.11,€/Kg.,2020-08-17 16:00:00
ADCA3FE6444F01A88B191BBCD4249311,drogueria_y_limpieza_insecticidas_caminantes,ZUM insecticida chinches y pulgas spray 300 ml,,7.15,23.83,€/l.,2020-10-09 00:00:00
885EA3C1F14BDAE3193991E63BF5CFA4,congelados_pizzas,Bases de pizza sin gluten sin lactosa Hacendado ultracongeladas,Paquete,3.5,8.75,kg,2020-12-23 12:00:00
433463D95980C252B92C204E3655BB81,bebidas_vinos_todos_los_vinos,Vino D.O Rueda semi-seco blanco Pampano 75 cl.,75 Cl.,5.9,5.9,ud,2020-11-14 16:00:00
433463D95980C252B92C204E3655BB81,la_despensa_alimentacion_nutricion_deportiva,Batido de proteínas sabor chocolate sin azúcar añadido Powerbar 500 ml.,500 Ml.,3.3,6.6,l,2020-11-07 00:00:00
433463D95980C252B92C204E3655BB81,bebe_panales_y_toallitas_panales_dodot,Pañales Dodot Sensitive Extra Talla 3 (7-11 kg) 60 ud.,60 Ud.,22.45,0.37,ud,2020-10-07 00:00:00
ADCA3FE6444F01A88B191BBCD4249311,perfumeria_e_higiene_colonias_femeninas,BONTE colonia like spray 100 ml,,6.99,69.9,€/l.,2020-12-12 12:00:00
885EA3C1F14BDAE3193991E63BF5CFA4,cuidado_facial_y_corporal_manicura_y_pedicura,Corta cutículas Filarmonica,Paquete,1.9,1.9,ud,2020-12-08 12:00:00
885EA3C1F14BDAE3193991E63BF5CFA4,conservas_caldos_y_cremas_atun_y_otras_conservas_de_pescado,Bonito del norte en aceite de oliva Albo,Lata,2.98,36.34,kg,2020-11-23 12:00:00
433463D95980C252B92C204E3655BB81,perfumeria_e_higiene_bano_e_higiene_corporal_perfumeria_para_regalar,"Estuche Coronel Tapiocca Horizon: Colonia 75 ml, After Shave 75 ml y Shower Gel 75 ml",1 Ud.,9.35,9.35,ud,2020-12-09 12:00:00
433463D95980C252B92C204E3655BB81,el_mercado_panaderia_bolleria_y_pasteleria_bolleria_tradicional,Mini croissants Tonitos 18 ud,,6.99,13.71,kg,2020-12-23 00:00:00
885EA3C1F14BDAE3193991E63BF5CFA4,congelados_pizzas,Pizza estacione rellena de queso Hacendado ultracongelada,,2.99,5.54,kg,2020-09-22 12:04:00
433463D95980C252B92C204E3655BB81,la_despensa_aperitivos_frutos_secos,Almendras crudas sin cáscara sin sal añadida ecológicas Carrefour Bio 90 g.,,1.63,18.11,kg,2021-01-16 00:00:00
ADCA3FE6444F01A88B191BBCD4249311,bebidas_zumos_y_nectares_nectar,DIA néctar light piña envase 2 lt,,1.09,0.55,€/l.,2020-12-27 12:00:00
433463D95980C252B92C204E3655BB81,la_despensa_dulce_y_desayuno_galletas,Galletas relenas de limón Bocaditos Cuétara 150 g.,150 G.,1.0,6.67,kg,2020-12-10 00:00:00
433463D95980C252B92C204E3655BB81,el_mercado_quesos_todos_los_quesos,Queso de mezcla semicurado Gran Capitán cuña cortada de 230 g aprox,230 G,4.2,18.26,kg,2020-10-20 00:00:00
